zin;label
De aarde draait om de zon;0
Dit is de beste film ooit;1
Water kookt op 100 graden;0
Ik vind deze muziek verschrikkelijk;1
De Mount Everest is 8849 meter hoog;0
Ik denk dat paars de mooiste kleur is;1
Nederland heeft 17 miljoen inwoners;0
Deze vakantie was absoluut geweldig;1
De aarde draait om de zon;0
Ik vind chocolade het lekkerste snoep;1
Water bestaat uit waterstof en zuurstof;0
Deze stoel zit ontzettend comfortabel;1
Parijs is de hoofdstad van Frankrijk;0
Volgens mij is dit een slechte beslissing;1
Een week heeft zeven dagen;0
Dit boek is ongelooflijk saai;1
De mens heeft twee longen;0
Ik denk dat honden leuker zijn dan katten;1
De Noordzee grenst aan Nederland;0
Deze maaltijd smaakt fantastisch;1
IJzer is een metaal;0
Die film was veel te langdradig;1
De maan draait om de aarde;0
Ik vind rood een prachtige kleur;1
Een uur bestaat uit zestig minuten;0
Dit restaurant heeft het lekkerste eten;1
Planten gebruiken fotosynthese;0
Volgens mij is dit een geweldige uitvinding;1
Japan ligt in Azië;0
Deze auto ziet er prachtig uit;1
Het menselijk lichaam heeft een skelet;0
Ik vind regenachtig weer vervelend;1
Zuurstof heeft atoomnummer 8;0
Dit liedje klinkt prachtig;1
De Rijn stroomt door meerdere landen;0
Ik denk dat voetbal de leukste sport is;1
Saturnus heeft ringen;0
Deze kamer is veel te klein;1
Koper geleidt elektriciteit;0
Volgens mij is dat een slimme leerling;1
Een driehoek heeft drie zijden;0
Deze taart is heerlijk;1
De Sahara is een woestijn;0
Ik vind wintersport geweldig;1
Een decennium duurt tien jaar;0
Dit is de mooiste stad van Nederland;1
Berlijn ligt in Duitsland;0
Volgens mij is dat een slechte film;1
Het hart pompt bloed door het lichaam;0
Deze computer werkt ontzettend snel;1
Mercurius is een planeet;0
Ik vind geschiedenis een interessant vak;1
Een kilogram bestaat uit duizend gram;0
Dit uitzicht is adembenemend;1
De Stille Oceaan is een oceaan;0
Volgens mij is blauw de mooiste kleur;1
Mieren zijn insecten;0
Deze les is saai;1
